日期,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,成交金额1
2017/10/23,3380.699,3385.2853,3374.705,3382.28,3378.6481,2.0509,0.0607,130846289,1.64E+11,
2017/10/20,3378.6481,3379.7652,3360.1001,3363.5138,3370.1721,8.476,0.2515,127172851,1.55E+11,
2017/10/19,3370.1721,3378.7359,3359.6284,3374.6444,3381.7937,-11.6216,-0.3437,158476495,1.88E+11,
2017/10/18,3381.7937,3383.2323,3371.9249,3373.5281,3372.0407,9.753,0.2892,157228791,1.94E+11,
2017/10/17,3372.0407,3382.4072,3365.5646,3373.2342,3378.4704,-6.4297,-0.1903,125381725,1.63E+11,
2017/10/16,3378.4704,3400.5113,3374.7687,3393.2055,3390.5233,-12.0529,-0.3555,174330620,2.22E+11,
2017/10/13,3390.5233,3395.7484,3383.2392,3384.4883,3386.1,4.4233,0.1306,139954764,1.81E+11,
2017/10/12,3386.1,3390.2036,3372.5331,3385.5329,3388.2838,-2.1838,-0.0645,161809380,2.02E+11,
2017/10/11,3388.2838,3395.7794,3379.1634,3381.488,3382.9879,5.2959,0.1565,181476704,2.31E+11,
2017/10/10,3382.9879,3384.0262,3358.7953,3373.3446,3374.3781,8.6098,0.2552,179423841,2.31E+11,
2017/10/9,3374.3781,3410.1704,3366.965,3403.2458,3348.9431,25.435,0.7595,191736057,2.27E+11,
2017/9/29,3348.9431,3357.0154,3340.3109,3340.3109,3339.6421,9.301,0.2785,144862443,1.76E+11,
2017/9/28,3339.6421,3344.6005,3336.1784,3343.8446,3345.2717,-5.6296,-0.1683,149444300,1.82E+11,
2017/9/27,3345.2717,3349.6949,3340.2989,3340.8219,3343.5826,1.6891,0.0505,143086945,1.69E+11,
2017/9/26,3343.5826,3347.1629,3332.5985,3336.3497,3341.5487,2.0339,0.0609,132628595,1.59E+11,
2017/9/25,3341.5487,3350.9612,3334.9438,3344.5886,3352.5294,-10.9807,-0.3275,169621293,2.02E+11,
2017/9/22,3352.5294,3356.4514,3334.9846,3347.1569,3357.8123,-5.2829,-0.1573,179234007,2.07E+11,
2017/9/21,3357.8123,3377.8844,3356.8754,3364.6977,3365.9959,-8.1836,-0.2431,197448695,2.32E+11,
2017/9/20,3365.9959,3370.0978,3346.5356,3352.1848,3356.8446,9.1513,0.2726,192196661,2.26E+11,
2017/9/19,3356.8446,3370.4009,3344.7054,3365.5315,3362.8587,-6.0141,-0.1788,191129691,2.21E+11,
2017/9/18,3362.8587,3371.7486,3352.5134,3352.5134,3353.6192,9.2395,0.2755,190319676,2.28E+11,
2017/9/15,3353.6192,3365.5277,3345.3283,3365.1454,3371.4256,-17.8064,-0.5282,219765816,2.53E+11,
2017/9/14,3371.4256,3391.6435,3361.3335,3383.47,3384.147,-12.7214,-0.3759,221306487,2.57E+11,
2017/9/13,3384.147,3387.1397,3366.5412,3374.7185,3379.488,4.659,0.1379,194550715,2.31E+11,
2017/9/12,3379.488,3391.0694,3370.8519,3381.487,3376.4188,3.0692,0.0909,272910319,3.25E+11,
2017/9/11,3376.4188,3384.81,3360.0462,3365.3506,3365.2426,11.1762,0.3321,219011019,2.57E+11,
2017/9/8,3365.2426,3380.8898,3353.6876,3364.4275,3365.4974,-0.2548,-0.0076,198405184,2.35E+11,
